The intermediate results:
Round 1: 64444,6,15,4
Round 2: 128884,8,34,8
Round 3: 193323,9,63,3
Round 4: 257764,6,87,1
Round 5: 322214,2,97,1

The clustering results:
0,5
1,7
2,1
3,0
4,4
5,4
6,2
7,8
8,4
9,4
10,5
11,4
12,5
13,8
14,0
15,1
16,5
17,4
18,6
19,0
20,9
21,9
22,0
23,4
24,5
25,2
26,9
27,8
28,7
29,6
30,1
31,6
32,8
33,8
34,7
35,0
36,6
37,7
38,4
39,1
40,1
41,1
42,2
43,9
44,1
45,4
46,0
47,4
48,2
49,2
50,8
51,6
52,0
53,5
54,8
55,3
56,6
57,4
58,8
59,4
60,8
61,0
62,6
63,0
64,1
65,3
66,0
67,7
68,7
69,4
70,9
71,3
72,7
73,8
74,3
75,4
76,4
77,4
78,8
79,8
80,9
81,8
82,7
83,1
84,0
85,8
86,6
87,0
88,9
89,3
90,4
91,5
92,9
93,2
94,9
95,9
96,6
97,9
98,1
99,1
100,4
101,6
102,0
103,8
104,8
105,0
106,0
107,4
108,7
109,8
110,7
111,1
112,7
113,2
114,8
115,8
116,6
117,7
118,0
119,5
120,3
121,4
122,7
123,6
124,2
125,7
126,6
127,7
128,4
129,0
130,1
131,8
132,4
133,0
134,4
135,2
136,8
137,8
138,8
139,2
140,1
141,0
142,1
143,2
144,7
145,6
146,7
147,5
148,8
149,0
150,9
151,4
152,8
153,8
154,8
155,8
156,1
157,7
158,1
159,8
160,9
161,3
162,3
163,3
164,8
165,7
166,6
167,9
168,4
169,4
170,6
171,2
172,1
173,4
174,6
175,2
176,7
177,6
178,5
179,9
180,5
181,2
182,9
183,2
184,1
185,3
186,8
187,7
188,2
189,0
190,1
191,5
192,8
193,7
194,1
195,1
196,9
197,2
198,4
199,5
200,6
201,6
202,6
203,6
204,3
205,4
206,5
207,2
208,4
209,0
210,3
211,2
212,9
213,5
214,5
215,7
216,5
217,4
218,8
219,1
220,6
221,6
222,5
223,5
224,6
225,6
226,7
227,9
228,2
229,6
230,5
231,7
232,5
233,8
234,4
235,4
236,8
237,0
238,0
239,7
240,8
241,9
242,5
243,0
244,4
245,7
246,0
247,0
248,4
249,4
250,9
251,4
252,7
253,8
254,1
255,7
256,6
257,4
258,7
259,1
260,8
261,3
262,0
263,8
264,2
265,3
266,6
267,0
268,4
269,4
270,2
271,4
272,9
273,3
274,2
275,9
276,4
277,8
278,1
279,7
280,1
281,1
282,2
283,0
284,7
285,9
286,8
287,4
288,6
289,4
290,2
291,9
292,0
293,3
294,6
295,2
296,0
297,6
298,0
299,7
300,0
301,3
302,1
303,1
304,3
305,7
306,1
307,9
308,2
309,2
310,0
311,8
312,9
313,4
314,4
315,7
316,1
317,0
318,6
319,9
320,1
321,5
322,3
323,6
324,6
325,2
326,7
327,3
328,8
329,9
330,9
331,0
